SeasonId,MatchId,Team1,Team2,Team1Score,Team2Score,MatchResult,MatchVenue,MatchDate,MatchTime
Season1,Match 1,U Mumba,Jaipur Pink Panthers,45,31,U Mumba beat Jaipur Pink Panthers by 14 Points,"National Sports Club of India, Mumbai",7/26/2014,20:00 (IST)
Season1,Match 2,Dabang Delhi,Bengaluru Bulls,28,47,Bengaluru Bulls beat Dabang Delhi by 19 Points,"National Sports Club of India, Mumbai",7/26/2014,21:00 (IST)
Season1,Match 3,Bengaluru Bulls,Puneri Paltan,40,37,Bengaluru Bulls beat Puneri Paltan by 3 Points,"National Sports Club of India, Mumbai",7/27/2014,20:00 (IST)
Season1,Match 4,U Mumba,Bengal Warriors,36,25,U Mumba beat Bengal Warriors by 11 Points,"National Sports Club of India, Mumbai",7/27/2014,21:00 (IST)
Season1,Match 5,Puneri Paltan,Dabang Delhi,31,35,Dabang Delhi beat Puneri Paltan by 4 Points,"National Sports Club of India, Mumbai",7/28/2014,20:00 (IST)
Season1,Match 6,U Mumba,Telugu Titans,35,35,MATCH TIED,"National Sports Club of India, Mumbai",7/28/2014,21:00 (IST)
Season1,Match 7,U Mumba,Patna Pirates,36,33,U Mumba beat Patna Pirates by 3 Points,"National Sports Club of India, Mumbai",7/29/2014,20:00 (IST)
Season1,Match 8,Bengal Warriors,Bengaluru Bulls,30,46,Bengaluru Bulls beat Bengal Warriors by 16 Points,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",7/30/2014,20:00 (IST)
Season1,Match 9,Jaipur Pink Panthers,Telugu Titans,46,32,Jaipur Pink Panthers beat Telugu Titans by 14 Points,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",7/31/2014,20:00 (IST)
Season1,Match 10,Bengal Warriors,Dabang Delhi,42,40,Bengal Warriors beat Dabang Delhi by 2 Points,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",7/31/2014,21:00 (IST)
Season1,Match 11,Telugu Titans,Patna Pirates,35,38,Patna Pirates beat Telugu Titans by 3 Points,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",8/1/2014,20:00 (IST)
Season1,Match 12,Bengal Warriors,Puneri Paltan,38,35,Bengal Warriors beat Puneri Paltan by 3 Points,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",8/1/2014,21:00 (IST)
Season1,Match 13,Patna Pirates,Jaipur Pink Panthers,18,40,Jaipur Pink Panthers beat Patna Pirates by 22 Points,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",8/2/2014,20:00 (IST)
Season1,Match 14,Bengal Warriors,U Mumba,29,38,U Mumba beat Bengal Warriors by 9 Points,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",8/2/2014,21:00 (IST)
Season1,Match 15,Dabang Delhi,Telugu Titans,35,39,Telugu Titans beat Dabang Delhi by 4 Points,"Thyagaraj Sports Complex, Delhi",8/3/2014,20:00 (IST)
Season1,Match 16,Puneri Paltan,Bengaluru Bulls,33,31,Puneri Paltan beat Bengaluru Bulls by 2 Points,"Thyagaraj Sports Complex, Delhi",8/3/2014,21:00 (IST)
Season1,Match 17,U Mumba,Puneri Paltan,44,28,U Mumba beat Puneri Paltan by 16 Points,"Thyagaraj Sports Complex, Delhi",8/4/2014,20:00 (IST)
Season1,Match 18,Dabang Delhi,Patna Pirates,31,36,Patna Pirates beat Dabang Delhi by 5 Points,"Thyagaraj Sports Complex, Delhi",8/4/2014,21:00 (IST)
